test_id,identity_manifest,accessory_manifest
RC-CAT-001,"Silver-brown short-haired tabby; unusually round face; very large round pale-green eyes with dark rims; small pink-brown nose; broad pale muzzle; dark forehead M; small dark cheek spots.","REQUIRED: chunky charcoal-grey knitted shark hood/costume around head and neck; two black button eyes; small top fin; row of white felt teeth framing forehead and cheeks; black scarf-like neck panel with white spots."
RC-CAT-005,"Pure white plush short-haired cat; vivid blue-grey round eyes with dark rims; compact round head; small pink nose; full white muzzle; close-set upright ears.","REQUIRED: turquoise nylon collar with turquoise buckle plus lavender flower-shaped hanging tag marked COFFEE; same neck placement and colors."
RC-CAT-018,"Exact vertical split face: viewer-left black and viewer-right orange; viewer-left green eye and viewer-right icy-blue eye; sharply asymmetric cheeks; tortoiseshell body; white chin/chest patch.","REQUIRED: bright pink collar; silver ring; pink rhinestone heart-shaped tag marked Venus at center chest."
RC-CAT-028,"Small folded-ear cat; round face; short muzzle; green eyes; cream-white base coat with grey crown and warm orange patches on forehead and cheeks; dense plush fur.","REQUIRED: heather-grey jersey sweatshirt/blanket wrapped around body and arching like a hood over the head; small red-and-black cartoon patch on the upper grey fabric. No human limb."
RC-CAT-036,"Pure white plush short-haired cat; saturated sapphire-blue eyes; round compact face; small pink nose with dark outline; short upright ears.","REQUIRED: black-and-white gingham/checkered button-up shirt with pointed collar, short sleeves, and central black button; same chest placement."
RC-CAT-049,"Long-haired golden-shaded cat; luminous turquoise-green round eyes; small triangular ears; full cream cheek and chest ruff; dark eyeliner; flowing feathery coat and tail.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-065,"Very small flat-faced calico; short broad muzzle; low-set round dark eyes; tiny ears; exact black-orange-white facial patch topology; white chest and paws.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-066,"Grey-and-white short-haired cat; unique white moustache marking split beneath the dark nose; white muzzle/chest/paws; close-cropped round face; yellow-green eyes.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-081,"Exceptionally large heavy-bodied pale cream/orange tabby; broad chest; rounded belly; small squinting eyes; pink nose; relaxed mildly grumpy expression.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-092,"Brown-and-white tabby; green almond eyes; broad white muzzle and chest; pink nose; distinctive open-mouth grin with visible canine teeth.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-105,"Athletic warm-brown Bengal; high-contrast dark rosettes and facial stripes; very large upright ears; pale aqua-green eyes; narrow muzzle; brick-orange nose.","REQUIRED: red-and-black buffalo-plaid chest harness/bandana with black edge/strap; same front-chest placement. No flowers or landscape props."
CZ-CAT-006,"Slender black-and-white tuxedo cat; very wide round yellow-green eyes; black facial mask; narrow white lower-muzzle patch; large white bib; white paws; tall ears.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-117,"Orange-and-white tabby; white muzzle/chest/forelegs; calm narrow almond green eyes; tall lean body; pink freckled nose; unusually long crossed front paws.","NONE: do not invent a collar, clothing, hat, or toy."
RC-CAT-126,"Orange short-haired cat; huge round green-gold eyes; broad forward muzzle from wide-angle perspective; close pink-orange nose; curious startled expression; wet fur with visible water droplets on crown and face.","NONE: preserve the wet droplets as an appearance condition, but invent no collar, clothing, hat, or toy."
RC-CAT-003,"Silver-shaded short-haired Nala; very round face; large pale-green eyes with dark rims; small pink-brown nose; broad pale muzzle; plush stocky body; subtle dark forehead markings.","REQUIRED: narrow deep-purple collar at neck; shallow beige hand-woven fibre basket supporting the cat as in the source. Keep the basket compact on the pedestal."
